Expsample_ID	Reference_Transcript_ID	Repository_Name	Transcript_Type_Reported	Result_Unit_Reported	Value_Reported	Comments
RAP1_IAA_30M_REP1	YAL060W	Ensembl	mRNA	TPM	2208.946877	
RAP1_UNINDUCED_REP1	YAL060W	Ensembl	mRNA	TPM	2104.535614	
RAP1_UNINDUCED_REP2	YAL060W	Ensembl	mRNA	TPM	2439.421202	
WT_REP1	YAL060W	Ensembl	mRNA	TPM	1013.931258	
WT_REP2	YAL060W	Ensembl	mRNA	TPM	1197.94912	
RAP1_IAA_30M_REP1	YAL059C-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL059C-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL059C-A	Ensembl	mRNA	TPM	0	
WT_REP1	YAL059C-A	Ensembl	mRNA	TPM	0	
WT_REP2	YAL059C-A	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL059W	Ensembl	mRNA	TPM	1654.992367	
RAP1_UNINDUCED_REP1	YAL059W	Ensembl	mRNA	TPM	2193.431254	
RAP1_UNINDUCED_REP2	YAL059W	Ensembl	mRNA	TPM	2077.023074	
WT_REP1	YAL059W	Ensembl	mRNA	TPM	1627.456362	
WT_REP2	YAL059W	Ensembl	mRNA	TPM	1935.458421	
RAP1_IAA_30M_REP1	YAL058W	Ensembl	mRNA	TPM	743.437805	
RAP1_UNINDUCED_REP1	YAL058W	Ensembl	mRNA	TPM	795.579947	
RAP1_UNINDUCED_REP2	YAL058W	Ensembl	mRNA	TPM	733.427417	
WT_REP1	YAL058W	Ensembl	mRNA	TPM	691.604025	
WT_REP2	YAL058W	Ensembl	mRNA	TPM	909.327658	
RAP1_IAA_30M_REP1	YAL056C-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL056C-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL056C-A	Ensembl	mRNA	TPM	0	
WT_REP1	YAL056C-A	Ensembl	mRNA	TPM	0	
WT_REP2	YAL056C-A	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL056W	Ensembl	mRNA	TPM	1086.022016	
RAP1_UNINDUCED_REP1	YAL056W	Ensembl	mRNA	TPM	759.624868	
RAP1_UNINDUCED_REP2	YAL056W	Ensembl	mRNA	TPM	1061.140436	
WT_REP1	YAL056W	Ensembl	mRNA	TPM	686.01771	
WT_REP2	YAL056W	Ensembl	mRNA	TPM	686.735981	
RAP1_IAA_30M_REP1	YAL055W	Ensembl	mRNA	TPM	692.251931	
RAP1_UNINDUCED_REP1	YAL055W	Ensembl	mRNA	TPM	126.612963	
RAP1_UNINDUCED_REP2	YAL055W	Ensembl	mRNA	TPM	328.27969	
WT_REP1	YAL055W	Ensembl	mRNA	TPM	119.992835	
WT_REP2	YAL055W	Ensembl	mRNA	TPM	230.943664	
